item_id,sample_id,aspect,declared_sentiment,audit_row_score
r6163_peer_interaction,6163,peer interaction,negative,1.0
r6163_assessment_design,6163,assessment design,negative,1.0
r6578_interest,6578,interest,negative,1.0
r6578_accessibility,6578,accessibility,positive,1.0
r3618_support,3618,support,neutral,1.0
r3618_feedback_quality,3618,feedback quality,positive,1.0
r3618_tooling_usability,3618,tooling usability,negative,1.0
r8531_tooling_usability,8531,tooling usability,negative,1.0
r8531_organization,8531,organization,negative,1.0
r8531_materials,8531,materials,neutral,1.0
r3596_relevance,3596,relevance,positive,1.0
r3596_lecturer_quality,3596,lecturer quality,neutral,1.0
r3929_tooling_usability,3929,tooling usability,negative,1.0
r3929_clarity,3929,clarity,positive,1.0
r3929_pacing,3929,pacing,negative,1.0
r7552_relevance,7552,relevance,negative,1.0
r7552_overall_experience,7552,overall experience,negative,1.0
r4179_peer_interaction,4179,peer interaction,positive,1.0
r4179_exam_fairness,4179,exam fairness,neutral,1.0
r4248_accessibility,4248,accessibility,negative,1.0
r4248_organization,4248,organization,negative,1.0
r6531_prerequisite_fit,6531,prerequisite fit,neutral,1.0
r6531_organization,6531,organization,negative,1.0
r6531_tooling_usability,6531,tooling usability,neutral,1.0
r8213_assessment_design,8213,assessment design,negative,1.0
r8213_peer_interaction,8213,peer interaction,negative,1.0
r8213_pacing,8213,pacing,positive,1.0
r3485_exam_fairness,3485,exam fairness,positive,1.0
r3485_feedback_quality,3485,feedback quality,positive,1.0
r7529_prerequisite_fit,7529,prerequisite fit,negative,1.0
r7529_workload,7529,workload,negative,1.0
r3864_clarity,3864,clarity,positive,1.0
r3864_materials,3864,materials,positive,1.0
r3864_assessment_design,3864,assessment design,negative,1.0
